===================
001
===================
1  |POUND
1  |WITHDRAW
7  |RAZOR_LEAF
11 |SAND_ATTACK
15 |SMACK_DOWN

===================
002
===================
0  |HEADBUTT
1  |POUND
1  |WITHDRAW
7  |RAZOR_LEAF
11 |SAND_ATTACK
15 |SMACK_DOWN
18 |HEADBUTT
21 |SLEEP_POWDER
25 |MEGA_DRAIN
28 |MAGNITUDE
31 |ROCK_TOMB

===================
003
===================
0  |ROCKFALL_FRENZY
1  |ENDURE
1  |POUND
1  |WITHDRAW
7  |RAZOR_LEAF
11 |SAND_ATTACK
15 |SMACK_DOWN
18 |HEADBUTT
21 |SLEEP_POWDER
25 |MEGA_DRAIN
28 |MAGNITUDE
31 |ROCK_TOMB
36 |ROCKFALL_FRENZY
40 |EARTHQUAKE
42 |POWER_GEM
45 |DRAGON_TAIL
50 |LEAF_STORM
53 |EARTH_POWER
57 |SPIKY_SHIELD
62 |GIGA_DRAIN
68 |HEAD_SMASH
75 |SPIKES

===================
004
===================
1  |TACKLE
1  |HARDEN
7  |EMBER
11 |SMOKESCREEN
14 |INCINERATE

===================
005
===================
0  |HEADBUTT
1  |TACKLE
1  |HARDEN
7  |EMBER
11 |SMOKESCREEN
14 |INCINERATE
16 |HEADBUTT
18 |FLAME_WHEEL
21 |IRON_DEFENSE
24 |TAKE_DOWN
27 |BULLDOZE
30 |LAVA_PLUME
33 |IRON_HEAD

===================
006
===================
0  |MOLTEN_STEELSPIKE
1  |TACKLE
1  |HARDEN
7  |EMBER
11 |SMOKESCREEN
14 |INCINERATE
16 |HEADBUTT
18 |FLAME_WHEEL
21 |IRON_DEFENSE
24 |TAKE_DOWN
27 |BULLDOZE
30 |LAVA_PLUME
33 |IRON_HEAD
36 |MOLTEN_STEELSPIKE
39 |FIRE_BLAST
43 |HEAVY_SLAM
43 |HEAT_CRASH
46 |EARTH_POWER
51 |AURA_SPHERE
55 |STEEL_BEAM
60 |FLARE_BLITZ
65 |SUNNY_BURST
70 |ERUPTION
75 |STEALTH_ROCK
80 |SPIKES

===================
007
===================
1  |SCRATCH
1  |GROWL
7  |WATER_GUN
11 |BUBBLEBEAM
15 |MUD_SPORT

===================
008
===================
0  |BITE
1  |SCRATCH
1  |GROWL
7  |WATER_GUN
11 |BUBBLEBEAM
15 |MUD_SPORT
17 |BITE
19 |MEAN_LOOK
23 |FIRE_FANG
26 |AQUA_JET
32 |DRAGON_TAIL

===================
009
===================
0  |CHANNELING_BLOW
1  |SCRATCH
1  |GROWL
7  |WATER_GUN
11 |BUBBLEBEAM
15 |MUD_SPORT
